latitude,longitude,elevation,time,MASTRE_ID,EVENT,PLTSQ
42.4978976,-71.68123843,0.0,2021-06-12 08:34:00-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979008,-71.68124173,0.0,2021-06-12 08:34:01-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979045,-71.68124573,0.0,2021-06-12 08:34:02-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979048,-71.68124653,0.0,2021-06-12 08:34:03-04:00,MPA147,RuckInfil,PLT3SQ3
42.497904,-71.68124523,0.0,2021-06-12 08:34:04-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979055,-71.68124573,0.0,2021-06-12 08:34:05-04:00,MPA147,RuckInfil,PLT3SQ3
42.497903,-71.68124743,0.0,2021-06-12 08:34:06-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979035,-71.68124843,0.0,2021-06-12 08:34:07-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979035,-71.68124823,0.0,2021-06-12 08:34:08-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979057,-71.68124353,0.0,2021-06-12 08:34:09-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979067,-71.68124373,0.0,2021-06-12 08:34:10-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979059,-71.68124473,0.0,2021-06-12 08:34:11-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979091,-71.68124503,0.0,2021-06-12 08:34:12-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979121,-71.68124283,0.0,2021-06-12 08:34:13-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979131,-71.68124103,0.0,2021-06-12 08:34:14-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979151,-71.68123583,0.0,2021-06-12 08:34:15-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979159,-71.68123413,0.0,2021-06-12 08:34:16-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979172,-71.68123183,0.0,2021-06-12 08:34:17-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979185,-71.68122903,0.0,2021-06-12 08:34:18-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979195,-71.68122673,0.0,2021-06-12 08:34:19-04:00,MPA147,RuckInfil,PLT3SQ3
42.497923,-71.68121943,0.0,2021-06-12 08:34:20-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979253,-71.68121363,0.0,2021-06-12 08:34:21-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979221,-71.68121343,0.0,2021-06-12 08:34:22-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979184,-71.68121973,0.0,2021-06-12 08:34:23-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979167,-71.68122393,0.0,2021-06-12 08:34:24-04:00,MPA147,RuckInfil,PLT3SQ3
42.497918,-71.68122143,0.0,2021-06-12 08:34:25-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979137,-71.68122923,0.0,2021-06-12 08:34:26-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979124,-71.68123953,0.0,2021-06-12 08:34:27-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979136,-71.68124253,0.0,2021-06-12 08:34:28-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979153,-71.68124433,0.0,2021-06-12 08:34:29-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979166,-71.68124813,0.0,2021-06-12 08:34:30-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979173,-71.68124943,0.0,2021-06-12 08:34:31-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979195,-71.68124513,0.0,2021-06-12 08:34:32-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979237,-71.68123513,0.0,2021-06-12 08:34:33-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979237,-71.68123263,0.0,2021-06-12 08:34:34-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979222,-71.68122893,0.0,2021-06-12 08:34:35-04:00,MPA147,RuckInfil,PLT3SQ3
42.497924,-71.68122493,0.0,2021-06-12 08:34:36-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979253,-71.68122493,0.0,2021-06-12 08:34:37-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979281,-71.68122273,0.0,2021-06-12 08:34:38-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979316,-71.68121943,0.0,2021-06-12 08:34:39-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979328,-71.68121723,0.0,2021-06-12 08:34:40-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979338,-71.68121573,0.0,2021-06-12 08:34:41-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979345,-71.68121423,0.0,2021-06-12 08:34:42-04:00,MPA147,RuckInfil,PLT3SQ3
42.497935,-71.68121193,0.0,2021-06-12 08:34:43-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979352,-71.68120923,0.0,2021-06-12 08:34:44-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979352,-71.68120673,0.0,2021-06-12 08:34:45-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979345,-71.68120543,0.0,2021-06-12 08:34:46-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979333,-71.68120463,0.0,2021-06-12 08:34:47-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979326,-71.68120333,0.0,2021-06-12 08:34:48-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979326,-71.68120113,0.0,2021-06-12 08:34:49-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979336,-71.68119733,0.0,2021-06-12 08:34:50-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979339,-71.68119583,0.0,2021-06-12 08:34:51-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979332,-71.68119553,0.0,2021-06-12 08:34:52-04:00,MPA147,RuckInfil,PLT3SQ3
42.497932,-71.68119503,0.0,2021-06-12 08:34:53-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979297,-71.68119373,0.0,2021-06-12 08:34:54-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979292,-71.68119323,0.0,2021-06-12 08:34:55-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979289,-71.68119273,0.0,2021-06-12 08:34:56-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979299,-71.68119323,0.0,2021-06-12 08:34:57-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979289,-71.68119373,0.0,2021-06-12 08:34:58-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979292,-71.68119443,0.0,2021-06-12 08:34:59-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979287,-71.68119323,0.0,2021-06-12 08:35:00-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979284,-71.68119193,0.0,2021-06-12 08:35:01-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979276,-71.68119173,0.0,2021-06-12 08:35:02-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979329,-71.68119453,0.0,2021-06-12 08:35:03-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979396,-71.68120103,0.0,2021-06-12 08:35:04-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979434,-71.68120453,0.0,2021-06-12 08:35:05-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979454,-71.68120703,0.0,2021-06-12 08:35:06-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979474,-71.68120923,0.0,2021-06-12 08:35:07-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979474,-71.68121123,0.0,2021-06-12 08:35:08-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979462,-71.68121123,0.0,2021-06-12 08:35:09-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979479,-71.68120903,0.0,2021-06-12 08:35:10-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979496,-71.68120603,0.0,2021-06-12 08:35:11-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979521,-71.68120333,0.0,2021-06-12 08:35:12-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979544,-71.68120053,0.0,2021-06-12 08:35:13-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979567,-71.68119603,0.0,2021-06-12 08:35:14-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979594,-71.68119303,0.0,2021-06-12 08:35:15-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979607,-71.68119333,0.0,2021-06-12 08:35:16-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979617,-71.68119403,0.0,2021-06-12 08:35:17-04:00,MPA147,RuckInfil,PLT3SQ3
42.497962,-71.68119473,0.0,2021-06-12 08:35:18-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979632,-71.68119473,0.0,2021-06-12 08:35:19-04:00,MPA147,RuckInfil,PLT3SQ3
42.497964,-71.68119373,0.0,2021-06-12 08:35:20-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979657,-71.68119323,0.0,2021-06-12 08:35:21-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979655,-71.68119403,0.0,2021-06-12 08:35:22-04:00,MPA147,RuckInfil,PLT3SQ3
42.497965,-71.68119573,0.0,2021-06-12 08:35:23-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979643,-71.68119843,0.0,2021-06-12 08:35:24-04:00,MPA147,RuckInfil,PLT3SQ3
42.497965,-71.68119923,0.0,2021-06-12 08:35:25-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979653,-71.68119953,0.0,2021-06-12 08:35:26-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979646,-71.68119953,0.0,2021-06-12 08:35:27-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979639,-71.68120103,0.0,2021-06-12 08:35:28-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979646,-71.68120273,0.0,2021-06-12 08:35:29-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979606,-71.68120573,0.0,2021-06-12 08:35:30-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979594,-71.68120593,0.0,2021-06-12 08:35:31-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979569,-71.68120593,0.0,2021-06-12 08:35:32-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979547,-71.68120793,0.0,2021-06-12 08:35:33-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979525,-71.68120923,0.0,2021-06-12 08:35:34-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979525,-71.68120993,0.0,2021-06-12 08:35:35-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979497,-71.68121013,0.0,2021-06-12 08:35:36-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979492,-71.68121083,0.0,2021-06-12 08:35:37-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979435,-71.68121163,0.0,2021-06-12 08:35:38-04:00,MPA147,RuckInfil,PLT3SQ3
42.497936,-71.68121163,0.0,2021-06-12 08:35:39-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979297,-71.68121183,0.0,2021-06-12 08:35:40-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979254,-71.68121113,0.0,2021-06-12 08:35:41-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979187,-71.68120933,0.0,2021-06-12 08:35:42-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979125,-71.68121083,0.0,2021-06-12 08:35:43-04:00,MPA147,RuckInfil,PLT3SQ3
42.497908,-71.68121203,0.0,2021-06-12 08:35:44-04:00,MPA147,RuckInfil,PLT3SQ3
42.4979005,-71.68121253,0.0,2021-06-12 08:35:45-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978933,-71.68120633,0.0,2021-06-12 08:35:46-04:00,MPA147,RuckInfil,PLT3SQ3
42.497891,-71.68119313,0.0,2021-06-12 08:35:47-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978932,-71.68117863,0.0,2021-06-12 08:35:48-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978945,-71.68117733,0.0,2021-06-12 08:35:49-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978933,-71.68117463,0.0,2021-06-12 08:35:50-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978933,-71.68117113,0.0,2021-06-12 08:35:51-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978938,-71.68116863,0.0,2021-06-12 08:35:52-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978941,-71.68116433,0.0,2021-06-12 08:35:53-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978931,-71.68116153,0.0,2021-06-12 08:35:54-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978928,-71.68115923,0.0,2021-06-12 08:35:55-04:00,MPA147,RuckInfil,PLT3SQ3
42.497893,-71.68115793,0.0,2021-06-12 08:35:56-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978925,-71.68115543,0.0,2021-06-12 08:35:57-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978927,-71.68115443,0.0,2021-06-12 08:35:58-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978922,-71.68115293,0.0,2021-06-12 08:35:59-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978917,-71.68115093,0.0,2021-06-12 08:36:00-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978925,-71.68114773,0.0,2021-06-12 08:36:01-04:00,MPA147,RuckInfil,PLT3SQ3
42.497892,-71.68114023,0.0,2021-06-12 08:36:02-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978918,-71.68113773,0.0,2021-06-12 08:36:03-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978898,-71.68113753,0.0,2021-06-12 08:36:04-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978895,-71.68113903,0.0,2021-06-12 08:36:05-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978868,-71.68114673,0.0,2021-06-12 08:36:06-04:00,MPA147,RuckInfil,PLT3SQ3
42.4978855,-71.68115193,0.0,2021-06-12 08:36:07-04:00,MPA147,RuckInfil,PLT3SQ3
